18:55:07.033 [localhost-startStop-1] INFO  c.a.g.utils.MessagesUtils - Getting properties from URL file:/D:/软件/开发等软件/开发工具/eclipse/Java%20Eclipse/eclipse-jee-mars-R-win32-x86_64/workspace/.metadata/.plugins/org.eclipse.wst.server.core/tmp0/wtpwebapps/AutomaticQA_1/WEB-INF/classes/properties/messages.properties for the default configuration
18:55:07.041 [localhost-startStop-1] INFO  c.a.g.utils.MessagesUtils - Properties read {START_NUM=40001, LOGS_PATH=D:\u8F6F件\u5F00发等软件\u5F00发工具eclipseJava Eclipseeclipse-jee-mars-R-win32-x86_64workspaceAutomaticQA_1srcmainwebapplogs\, USER_FORMAT_ERROR=用户名格式不对！, SIGN_IN_SUCCESS=登陆成功！, SIGN_IN_ERROR=登录失败！, POS_LOCATION_JSOUP_FILES=F:\jsoup\info\, FILE_QA_PATH=D://QA.txt, WEB_BAIKE_URL=http://baike.baidu.com/view/, END_NUM=50000, POSITION_API_NOT_IP=http://api.map.baidu.com/location/ip?ak=L8OlGnGfB28Ku6fpwt4KmKe39LV7QphG, BASEURL_NEXT_NODE=/textFC/db.shtml, PASSWORD_LENGTH_ERROR=密码长度不对！, PASSWORD_ERROR=密码错误！, BASEURL=http://www.weather.com.cn, REGISTER_SUCCESS=注册成功！, PASSWORD_FORMAT_ERROR=密码格式不对！, Full_WEATHER_NUM=3, USER_NOT_EXIST=该用户不存在！, REGISTER_ERROR=注册失败！, POSITION_API_IP=http://api.map.baidu.com/location/ip?ak=L8OlGnGfB28Ku6fpwt4KmKe39LV7QphG&ip=117.71.53.46}
18:55:08.625 [http-bio-8080-exec-4] INFO  c.a.g.utils.JumpToJspViewsUtils - 进入登陆界面
18:55:35.018 [http-bio-8080-exec-8] INFO  c.a.g.utils.JumpToJspViewsUtils - 进入登陆界面
18:55:37.583 [http-bio-8080-exec-10] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
18:55:37.713 [http-bio-8080-exec-10] ERROR c.a.g.controller.UserController - 查询失败！：：：用户::sa::不存在
18:55:37.714 [http-bio-8080-exec-10] INFO  c.a.g.controller.UserController - 进入:::login.jsp:::页面!
18:55:41.071 [http-bio-8080-exec-10] INFO  c.a.g.controller.UserController - 查询成功！：：：用户::王思捷::存在
18:55:41.071 [http-bio-8080-exec-10] INFO  c.a.g.controller.UserController - 进入:::backstage/backstage.jsp:::页面!
18:56:08.036 [http-bio-8080-exec-1] INFO  c.a.g.controller.WeatherController - ：：：正在检查缺少的数据：：：
18:56:09.828 [http-bio-8080-exec-4] INFO  c.a.g.controller.WeatherController - ：：：正在检查缺少的数据：：：
18:56:10.337 [http-bio-8080-exec-5] INFO  c.a.g.controller.WeatherController - ：：：正在检查缺少的数据：：：
18:56:16.113 [http-bio-8080-exec-8] INFO  c.a.g.utils.JumpToJspViewsUtils - 进入后台数据界面
18:57:27.722 [http-bio-8080-exec-3] INFO  c.a.g.utils.JumpToJspViewsUtils - 进入后台数据界面
