21:57:17.922 [main] INFO  c.a.g.utils.MessagesUtils - Getting properties from URL file:/D:/%e8%bd%af%e4%bb%b6/%e5%bc%80%e5%8f%91%e7%ad%89%e8%bd%af%e4%bb%b6/%e5%bc%80%e5%8f%91%e5%b7%a5%e5%85%b7/eclipse/Java%20Eclipse/eclipse-jee-mars-R-win32-x86_64/workspace/AutomaticQA_1/target/classes/properties/messages.properties for the default configuration
21:57:17.926 [main] INFO  c.a.g.utils.MessagesUtils - Properties read {BASEURL_NEXT_NODE=/textFC/db.shtml, PASSWORD_FORMAT_ERROR=密码格式不对！, POS_LOCATION_JSOUP_FILES=F:\jsoup\info\, BASEURL=http://www.weather.com.cn, USER_NOT_EXIST=该用户不存在！, POSITION_API_IP=http://api.map.baidu.com/location/ip?ak=L8OlGnGfB28Ku6fpwt4KmKe39LV7QphG&ip=117.71.53.46, LOGS_PATH=D:\u8F6F件\u5F00发等软件\u5F00发工具eclipseJava Eclipseeclipse-jee-mars-R-win32-x86_64workspaceAutomaticQA_1srcmainwebapplogs\, REGISTER_SUCCESS=注册成功！, USER_FORMAT_ERROR=用户名格式不对！, REGISTER_ERROR=注册失败！, WEB_BAIKE_URL=http://baike.baidu.com/view/, SIGN_IN_ERROR=登录失败！, POSITION_API_NOT_IP=http://api.map.baidu.com/location/ip?ak=L8OlGnGfB28Ku6fpwt4KmKe39LV7QphG, SIGN_IN_SUCCESS=登陆成功！, PASSWORD_ERROR=密码错误！, PASSWORD_LENGTH_ERROR=密码长度不对！}
21:57:18.096 [main] INFO  c.a.g.utils.JsoupInfoUtil - 删除完成！:文件夹：：10001~20000::总条数：：：171：：：
21:57:18.097 [main] INFO  c.a.g.utils.JsoupInfoUtil - 花费时间：：：166
21:57:18.098 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10001.html：：：：下载！
21:57:18.185 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10001.html:::::存入！
21:57:18.869 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:18.870 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10002.html：：：：下载！
21:57:18.904 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10002.html:::::存入！
21:57:19.697 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:19.698 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10003.html：：：：下载！
